{'name': 'Дмитрий', 'surname': 'Куликов', 'midname': 'Вячеславович', 'country': 'Россия', 'city': 'Москва', 'street': 'улица Грекова', 'building': 'дом 10', 'flat': '1', 'code': '127224', 'tele': 'NULL', 'post': 'nkpzapd@abn-mail.xyz', 'password': 'TheBestGuysEver1', 'card': 'NULL'}
{'name': 'Рустам', 'surname': 'Андреев', 'midname': 'Николаевич', 'country': 'Россия', 'city': 'Москва', 'street': 'Студёный проезд', 'building': 'дом 22', 'flat': '42', 'code': '127224', 'tele': 'NULL', 'post': 'pgvhsvx@abn-mail.xyz', 'password': 'TheBestGuysEver1', 'card': 'NULL'}
{'name': 'Тамерлан', 'surname': 'Тимофеев', 'midname': 'Олегович', 'country': 'Россия', 'city': 'Москва', 'street': 'Ясный проезд', 'building': 'дом 8 корпус 2', 'flat': '40', 'code': '127081', 'tele': 'NULL', 'post': 'vbfkcmde@abn-mail.xyz', 'password': 'TheBestGuysEver1', 'card': 'NULL'}
{'name': 'Леонид', 'surname': 'Козлов', 'midname': 'Леонидович', 'country': 'Россия', 'city': 'Москва', 'street': 'проезд Шокальского', 'building': 'дом 6А', 'flat': '47', 'code': '127642', 'tele': 'NULL', 'post': 'hmwpqjcu@abn-mail.xyz', 'password': 'TheBestGuysEver1', 'card': 'NULL'}
{'name': 'Мирон', 'surname': 'Гусев', 'midname': 'Леонидович', 'country': 'Россия', 'city': 'Москва', 'street': 'Заревый проезд', 'building': 'дом 19', 'flat': '49', 'code': '127282', 'tele': 'NULL', 'post': 'flmsromnz@abn-mail.xyz', 'password': 'TheBestGuysEver1', 'card': 'NULL'}
{'name': 'Тимур', 'surname': 'Фролов', 'midname': 'Ильич', 'country': 'Россия', 'city': 'Москва', 'street': 'Полярная улица', 'building': 'дом 46', 'flat': '36', 'code': '127282', 'tele': 'NULL', 'post': 'ejidxdqyy@abn-mail.xyz', 'password': 'TheBestGuysEver1', 'card': 'NULL'}
{'name': 'Владимир', 'surname': 'Большаков', 'midname': 'Аркадьевич', 'country': 'Россия', 'city': 'Москва', 'street': 'Широкая улица', 'building': 'дом 19 корпус 3', 'flat': '29', 'code': '127224', 'tele': 'NULL', 'post': 'llvxgfmh@abn-mail.xyz', 'password': 'TheBestGuysEver1', 'card': 'NULL'}
{'name': 'Павел', 'surname': 'Егоров', 'midname': 'Георгиевич', 'country': 'Россия', 'city': 'Москва', 'street': 'Широкая улица', 'building': 'дом 19 корпус 3', 'flat': '37', 'code': '127224', 'tele': 'NULL', 'post': 'gtjcgwd@abn-mail.xyz', 'password': 'TheBestGuysEver1', 'card': 'NULL'}
{'name': 'Николай', 'surname': 'Матвеев', 'midname': 'Антонович', 'country': 'Россия', 'city': 'Москва', 'street': 'проезд Шокальского', 'building': 'дом 13 корпус 1', 'flat': '35', 'code': '127221', 'tele': 'NULL', 'post': 'eyreedrl@abn-mail.xyz', 'password': 'TheBestGuysEver1', 'card': 'NULL'}
{'name': 'Игорь', 'surname': 'Петухов', 'midname': 'Игоревич', 'country': 'Россия', 'city': 'Москва', 'street': 'Полярная улица', 'building': 'дом 6 корпус 1', 'flat': '1', 'code': '127221', 'tele': 'NULL', 'post': 'avcvda@abn-mail.xyz', 'password': 'TheBestGuysEver1', 'card': 'NULL'}
{'name': 'Елисей', 'surname': 'Титов', 'midname': 'Тарасович', 'country': 'Россия', 'city': 'Москва', 'street': 'улица Молодцова', 'building': 'дом 31 корпус 3', 'flat': '19', 'code': '127081', 'tele': 'NULL', 'post': 'zmvgdqrdy@abn-mail.xyz', 'password': 'TheBestGuysEver1', 'card': 'NULL'}
{'name': 'Глеб', 'surname': 'Орлов', 'midname': 'Васильевич', 'country': 'Россия', 'city': 'Москва', 'street': 'Заревый проезд', 'building': 'дом 1 корпус 1', 'flat': '36', 'code': '127282', 'tele': 'NULL', 'post': 'jnlhxfznf@abn-mail.xyz', 'password': 'TheBestGuysEver1', 'card': 'NULL'}
{'name': 'Игорь', 'surname': 'Алексеев', 'midname': 'Константинович', 'country': 'Россия', 'city': 'Москва', 'street': 'Осташковская улица', 'building': 'дом 30', 'flat': '3', 'code': '127224', 'tele': 'NULL', 'post': 'vllzmnnf@abn-mail.xyz', 'password': 'TheBestGuysEver1', 'card': 'NULL'}
{'name': 'Савелий', 'surname': 'Морозов', 'midname': 'Романович', 'country': 'Россия', 'city': 'Москва', 'street': 'Полярная улица', 'building': 'дом 46', 'flat': '40', 'code': '127282', 'tele': 'NULL', 'post': 'zwvxbqgl@abn-mail.xyz', 'password': 'TheBestGuysEver1', 'card': 'NULL'}
{'name': 'Игорь', 'surname': 'Матвеев', 'midname': 'Алексеевич', 'country': 'Россия', 'city': 'Москва', 'street': 'Студёный проезд', 'building': 'дом 14', 'flat': '38', 'code': '127282', 'tele': 'NULL', 'post': 'yvsajxo@abn-mail.xyz', 'password': 'TheBestGuysEver1', 'card': 'NULL'}
{'name': 'Вячеслав', 'surname': 'Кузнецов', 'midname': 'Филиппович', 'country': 'Россия', 'city': 'Москва', 'street': 'Полярная улица', 'building': 'дом 36', 'flat': '29', 'code': '127282', 'tele': 'NULL', 'post': 'vdribqo@abn-mail.xyz', 'password': 'TheBestGuysEver1', 'card': 'NULL'}
{'name': 'Артемий', 'surname': 'Петров', 'midname': 'Вольфович', 'country': 'Россия', 'city': 'Москва', 'street': 'Полярная улица', 'building': 'дом 14 корпус 1', 'flat': '27', 'code': '127221', 'tele': 'NULL', 'post': 'nasktkuft@abn-mail.xyz', 'password': 'TheBestGuysEver1', 'card': 'NULL'}
{'name': 'Борис', 'surname': 'Коновалов', 'midname': 'Игнатьевич', 'country': 'Россия', 'city': 'Москва', 'street': 'Заревый проезд', 'building': 'дом 19', 'flat': '37', 'code': '127282', 'tele': 'NULL', 'post': 'khcjkp@abn-mail.xyz', 'password': 'TheBestGuysEver1', 'card': 'NULL'}
{'name': 'Тимур', 'surname': 'Громов', 'midname': 'Робертович', 'country': 'Россия', 'city': 'Москва', 'street': 'улица Грекова', 'building': 'дом 1', 'flat': '28', 'code': '127282', 'tele': 'NULL', 'post': 'vmluywbjh@abn-mail.xyz', 'password': 'TheBestGuysEver1', 'card': 'NULL'}
{'name': 'Станислав', 'surname': 'Яковлев', 'midname': 'Георгиевич', 'country': 'Россия', 'city': 'Москва', 'street': 'Полярная улица', 'building': 'дом 36', 'flat': '16', 'code': '127282', 'tele': 'NULL', 'post': 'zlmtpqyi@abn-mail.xyz', 'password': 'TheBestGuysEver1', 'card': 'NULL'}
{'name': 'Василий', 'surname': 'Виноградов', 'midname': 'Степанович', 'country': 'Россия', 'city': 'Москва', 'street': 'Ясный проезд', 'building': 'дом 15А', 'flat': '39', 'code': '127081', 'tele': 'NULL', 'post': 'lceomjsct@abn-mail.xyz', 'password': 'TheBestGuysEver1', 'card': 'NULL'}
{'name': 'Ярослав', 'surname': 'Морозов', 'midname': 'Эдуардович', 'country': 'Россия', 'city': 'Москва', 'street': 'Ясный проезд', 'building': 'дом 5', 'flat': '13', 'code': '127081', 'tele': 'NULL', 'post': 'nrlkfzvqg@abn-mail.xyz', 'password': 'TheBestGuysEver1', 'card': 'NULL'}
{'name': 'Радмир', 'surname': 'Гусев', 'midname': 'Кириллович', 'country': 'Россия', 'city': 'Москва', 'street': 'Студёный проезд', 'building': 'дом 14', 'flat': '44', 'code': '127282', 'tele': 'NULL', 'post': 'cruqwvpj@abn-mail.xyz', 'password': 'TheBestGuysEver1', 'card': 'NULL'}
{'name': 'Станислав', 'surname': 'Григорьев', 'midname': 'Дмитриевич', 'country': 'Россия', 'city': 'Москва', 'street': 'Заревый проезд', 'building': 'дом 15 корпус 2', 'flat': '7', 'code': '127282', 'tele': 'NULL', 'post': 'beykxzh@abn-mail.xyz', 'password': 'TheBestGuysEver1', 'card': 'NULL'}
{'name': 'Артемий', 'surname': 'Николаев', 'midname': 'Станиславович', 'country': 'Россия', 'city': 'Москва', 'street': 'улица Грекова', 'building': 'дом 18 корпус 4', 'flat': '5', 'code': '127224', 'tele': 'NULL', 'post': 'bqyirlrc@abn-mail.xyz', 'password': 'TheBestGuysEver1', 'card': 'NULL'}
{'name': 'Ильдар', 'surname': 'Волков', 'midname': 'Александрович', 'country': 'Россия', 'city': 'Москва', 'street': 'Студёный проезд', 'building': 'дом 1 корпус 1', 'flat': '31', 'code': '127282', 'tele': 'NULL', 'post': 'cccgnjgh@abn-mail.xyz', 'password': 'TheBestGuysEver1', 'card': 'NULL'}
{'name': 'Захар', 'surname': 'Степанов', 'midname': 'Станиславович', 'country': 'Россия', 'city': 'Москва', 'street': 'Ясный проезд', 'building': 'дом 9', 'flat': '9', 'code': '127081', 'tele': 'NULL', 'post': 'iwtnta@abn-mail.xyz', 'password': 'TheBestGuysEver1', 'card': 'NULL'}
{'name': 'Григорий', 'surname': 'Тарасов', 'midname': 'Константинович', 'country': 'Россия', 'city': 'Москва', 'street': 'Студёный проезд', 'building': 'дом 2 корпус 1', 'flat': '4', 'code': '127282', 'tele': 'NULL', 'post': 'pywcsw@abn-mail.xyz', 'password': 'TheBestGuysEver1', 'card': 'NULL'}
{'name': 'Артём', 'surname': 'Васильев', 'midname': 'Феликсович', 'country': 'Россия', 'city': 'Москва', 'street': 'улица Грекова', 'building': 'дом 10', 'flat': '41', 'code': '127224', 'tele': 'NULL', 'post': 'dpdrmss@abn-mail.xyz', 'password': 'TheBestGuysEver1', 'card': 'NULL'}
{'name': 'Валерий', 'surname': 'Рябов', 'midname': 'Ильич', 'country': 'Россия', 'city': 'Москва', 'street': 'Широкая улица', 'building': 'дом 19 корпус 3', 'flat': '25', 'code': '127224', 'tele': 'NULL', 'post': 'yghprds@abn-mail.xyz', 'password': 'TheBestGuysEver1', 'card': 'NULL'}
{'name': 'Антон', 'surname': 'Кузьмин', 'midname': 'Григорьевич', 'country': 'Россия', 'city': 'Москва', 'street': 'Полярная улица', 'building': 'дом 52 корпус 1', 'flat': '27', 'code': '127282', 'tele': 'NULL', 'post': 'yqazvi@abn-mail.xyz', 'password': 'TheBestGuysEver1', 'card': 'NULL'}
{'name': 'Валерий', 'surname': 'Голубев', 'midname': 'Викторович', 'country': 'Россия', 'city': 'Москва', 'street': 'Северодвинская улица', 'building': 'дом 19', 'flat': '3', 'code': '127224', 'tele': 'NULL', 'post': 'djxhnko@abn-mail.xyz', 'password': 'TheBestGuysEver1', 'card': 'NULL'}
{'name': 'Данила', 'surname': 'Рябов', 'midname': 'Юрьевич', 'country': 'Россия', 'city': 'Москва', 'street': 'Студёный проезд', 'building': 'дом 2 корпус 1', 'flat': '24', 'code': '127282', 'tele': 'NULL', 'post': 'plqvxjvi@abn-mail.xyz', 'password': 'TheBestGuysEver1', 'card': 'NULL'}
{'name': 'Гордей', 'surname': 'Соловьев', 'midname': 'Семенович', 'country': 'Россия', 'city': 'Москва', 'street': 'Студёный проезд', 'building': 'дом 12', 'flat': '18', 'code': '127282', 'tele': 'NULL', 'post': 'onfkfiqd@abn-mail.xyz', 'password': 'TheBestGuysEver1', 'card': 'NULL'}
{'name': 'Глеб', 'surname': 'Михайлов', 'midname': 'Евгеньевич', 'country': 'Россия', 'city': 'Москва', 'street': 'улица Грекова', 'building': 'дом 11', 'flat': '20', 'code': '127224', 'tele': 'NULL', 'post': 'cbntbfrzr@abn-mail.xyz', 'password': 'TheBestGuysEver1', 'card': 'NULL'}
{'name': 'Вадим', 'surname': 'Ильин', 'midname': 'Анатольевич', 'country': 'Россия', 'city': 'Москва', 'street': 'Студёный проезд', 'building': 'дом 18', 'flat': '1', 'code': '127224', 'tele': 'NULL', 'post': 'srvwedee@abn-mail.xyz', 'password': 'TheBestGuysEver1', 'card': 'NULL'}
{'name': 'Гордей', 'surname': 'Сергеев', 'midname': 'Федорович', 'country': 'Россия', 'city': 'Москва', 'street': 'улица Молодцова', 'building': 'дом 31 корпус 3', 'flat': '8', 'code': '127081', 'tele': 'NULL', 'post': 'qludlft@abn-mail.xyz', 'password': 'TheBestGuysEver1', 'card': 'NULL'}
{'name': 'Роберт', 'surname': 'Никифоров', 'midname': 'Дмитриевич', 'country': 'Россия', 'city': 'Москва', 'street': 'Ясный проезд', 'building': 'дом 18', 'flat': '25', 'code': '127081', 'tele': 'NULL', 'post': 'jgmjfklo@abn-mail.xyz', 'password': 'TheBestGuysEver1', 'card': 'NULL'}
{'name': 'Герман', 'surname': 'Титов', 'midname': 'Васильевич', 'country': 'Россия', 'city': 'Москва', 'street': 'проезд Дежнёва', 'building': 'дом 34', 'flat': '47', 'code': '127081', 'tele': 'NULL', 'post': 'sebhye@abn-mail.xyz', 'password': 'TheBestGuysEver1', 'card': 'NULL'}
{'name': 'Марат', 'surname': 'Кудрявцев', 'midname': 'Тарасович', 'country': 'Россия', 'city': 'Москва', 'street': 'улица Грекова', 'building': 'дом 10', 'flat': '8', 'code': '127224', 'tele': 'NULL', 'post': 'osymdq@abn-mail.xyz', 'password': 'TheBestGuysEver1', 'card': 'NULL'}
{'name': 'Назар', 'surname': 'Петров', 'midname': 'Сергеевич', 'country': 'Россия', 'city': 'Москва', 'street': 'Студёный проезд', 'building': 'дом 19', 'flat': '47', 'code': '127224', 'tele': 'NULL', 'post': 'slbzidflw@abn-mail.xyz', 'password': 'TheBestGuysEver1', 'card': 'NULL'}
{'name': 'Марат', 'surname': 'Рябов', 'midname': 'Сергеевич', 'country': 'Россия', 'city': 'Москва', 'street': 'улица Молодцова', 'building': 'дом 2 корпус 4', 'flat': '5', 'code': '127221', 'tele': 'NULL', 'post': 'oojyip@abn-mail.xyz', 'password': 'TheBestGuysEver1', 'card': 'NULL'}
{'name': 'Юрий', 'surname': 'Степанов', 'midname': 'Максимович', 'country': 'Россия', 'city': 'Москва', 'street': 'улица Грекова', 'building': 'дом 3 корпус 2', 'flat': '35', 'code': '127282', 'tele': 'NULL', 'post': 'gysqnxje@abn-mail.xyz', 'password': 'TheBestGuysEver1', 'card': 'NULL'}
{'name': 'Тихон', 'surname': 'Большаков', 'midname': 'Яковлевич', 'country': 'Россия', 'city': 'Москва', 'street': 'Ясный проезд', 'building': 'дом 18', 'flat': '47', 'code': '127081', 'tele': 'NULL', 'post': 'axesgbfxa@abn-mail.xyz', 'password': 'TheBestGuysEver1', 'card': 'NULL'}
{'name': 'Роман', 'surname': 'Семенов', 'midname': 'Анатольевич', 'country': 'Россия', 'city': 'Москва', 'street': 'Студёный проезд', 'building': 'дом 22', 'flat': '15', 'code': '127224', 'tele': 'NULL', 'post': 'fkooacchj@abn-mail.xyz', 'password': 'TheBestGuysEver1', 'card': 'NULL'}
{'name': 'Радмир', 'surname': 'Соловьев', 'midname': 'Исаакович', 'country': 'Россия', 'city': 'Москва', 'street': 'проезд Шокальского', 'building': 'дом 11', 'flat': '18', 'code': '127221', 'tele': 'NULL', 'post': 'vuxpdbwwc@abn-mail.xyz', 'password': 'TheBestGuysEver1', 'card': 'NULL'}
{'name': 'Ян', 'surname': 'Королев', 'midname': 'Борисович', 'country': 'Россия', 'city': 'Москва', 'street': 'улица Молодцова', 'building': 'дом 31 корпус 3', 'flat': '17', 'code': '127081', 'tele': 'NULL', 'post': 'fdslsazx@abn-mail.xyz', 'password': 'TheBestGuysEver1', 'card': 'NULL'}
{'name': 'Айдар', 'surname': 'Беляев', 'midname': 'Владиславович', 'country': 'Россия', 'city': 'Москва', 'street': 'проезд Шокальского', 'building': 'дом 35', 'flat': '29', 'code': '127221', 'tele': 'NULL', 'post': 'cnlbpx@abn-mail.xyz', 'password': 'TheBestGuysEver1', 'card': 'NULL'}
{'name': 'Алексей', 'surname': 'Лазарев', 'midname': 'Северинович', 'country': 'Россия', 'city': 'Москва', 'street': 'Студёный проезд', 'building': 'дом 26', 'flat': '20', 'code': '127224', 'tele': 'NULL', 'post': 'lmdmjkd@abn-mail.xyz', 'password': 'TheBestGuysEver1', 'card': 'NULL'}
{'name': 'Петр', 'surname': 'Григорьев', 'midname': 'Кириллович', 'country': 'Россия', 'city': 'Москва', 'street': 'проезд Дежнёва', 'building': 'дом 5 корпус 1', 'flat': '38', 'code': '127642', 'tele': 'NULL', 'post': 'xkffuaycl@abn-mail.xyz', 'password': 'TheBestGuysEver1', 'card': 'NULL'}
{'name': 'Игнат', 'surname': 'Никитин', 'midname': 'Аркадьевич', 'country': 'Россия', 'city': 'Москва', 'street': 'улица Молодцова', 'building': 'дом 9', 'flat': '8', 'code': '127221', 'tele': 'NULL', 'post': 'mfdhuyl@abn-mail.xyz', 'password': 'TheBestGuysEver1', 'card': 'NULL'}
{'name': 'Ян', 'surname': 'Соколов', 'midname': 'Георгиевич', 'country': 'Россия', 'city': 'Москва', 'street': 'проезд Дежнёва', 'building': 'дом 34', 'flat': '23', 'code': '127081', 'tele': 'NULL', 'post': 'xgpryg@abn-mail.xyz', 'password': 'TheBestGuysEver1', 'card': 'NULL'}
{'name': 'Макар', 'surname': 'Рябов', 'midname': 'Борисович', 'country': 'Россия', 'city': 'Москва', 'street': 'Сухонская улица', 'building': 'дом 1А', 'flat': '3', 'code': '127642', 'tele': 'NULL', 'post': 'afiyjhtdj@abn-mail.xyz', 'password': 'TheBestGuysEver1', 'card': 'NULL'}
{'name': 'Марк', 'surname': 'Петухов', 'midname': 'Исаакович', 'country': 'Россия', 'city': 'Москва', 'street': 'Студёный проезд', 'building': 'дом 2 корпус 1', 'flat': '30', 'code': '127282', 'tele': 'NULL', 'post': 'fusjnym@abn-mail.xyz', 'password': 'TheBestGuysEver1', 'card': 'NULL'}
{'name': 'Егор', 'surname': 'Баранов', 'midname': 'Платонович', 'country': 'Россия', 'city': 'Москва', 'street': 'улица Молодцова', 'building': 'дом 1В', 'flat': '24', 'code': '127221', 'tele': 'NULL', 'post': 'fksbiaqkc@abn-mail.xyz', 'password': 'TheBestGuysEver1', 'card': 'NULL'}
{'name': 'Данила', 'surname': 'Соболев', 'midname': 'Львович', 'country': 'Россия', 'city': 'Москва', 'street': 'Сухонская улица', 'building': 'дом 1А', 'flat': '43', 'code': '127642', 'tele': 'NULL', 'post': 'vmkgnplf@abn-mail.xyz', 'password': 'TheBestGuysEver1', 'card': 'NULL'}
{'name': 'Гордей', 'surname': 'Баранов', 'midname': 'Данилович', 'country': 'Россия', 'city': 'Москва', 'street': 'проезд Шокальского', 'building': 'дом 30 корпус 1', 'flat': '30', 'code': '127642', 'tele': 'NULL', 'post': 'imbvvgpzu@abn-mail.xyz', 'password': 'TheBestGuysEver1', 'card': 'NULL'}
{'name': 'Святослав', 'surname': 'Лебедев', 'midname': 'Витальевич', 'country': 'Россия', 'city': 'Москва', 'street': 'проезд Дежнёва', 'building': 'дом 5 корпус 1', 'flat': '10', 'code': '127642', 'tele': 'NULL', 'post': 'gfrvvhwd@abn-mail.xyz', 'password': 'TheBestGuysEver1', 'card': 'NULL'}
{'name': 'Дамир', 'surname': 'Цветков', 'midname': 'Матвеевич', 'country': 'Россия', 'city': 'Москва', 'street': 'проезд Дежнёва', 'building': 'дом 27 корпус 1', 'flat': '16', 'code': '127081', 'tele': 'NULL', 'post': 'wigtritv@abn-mail.xyz', 'password': 'TheBestGuysEver1', 'card': 'NULL'}
{'name': 'Артемий', 'surname': 'Королев', 'midname': 'Филиппович', 'country': 'Россия', 'city': 'Москва', 'street': 'улица Молодцова', 'building': 'дом 2 корпус 4', 'flat': '30', 'code': '127221', 'tele': 'NULL', 'post': 'jnamci@abn-mail.xyz', 'password': 'TheBestGuysEver1', 'card': 'NULL'}
{'name': 'Данила', 'surname': 'Поляков', 'midname': 'Петрович', 'country': 'Россия', 'city': 'Москва', 'street': 'Сухонская улица', 'building': 'дом 7А', 'flat': '41', 'code': '127642', 'tele': 'NULL', 'post': 'jwadhm@abn-mail.xyz', 'password': 'TheBestGuysEver1', 'card': 'NULL'}
{'name': 'Платон', 'surname': 'Фролов', 'midname': 'Филиппович', 'country': 'Россия', 'city': 'Москва', 'street': 'улица Грекова', 'building': 'дом 5', 'flat': '4', 'code': '127224', 'tele': 'NULL', 'post': 'ihcvkx@abn-mail.xyz', 'password': 'TheBestGuysEver1', 'card': 'NULL'}
{'name': 'Алексей', 'surname': 'Королев', 'midname': 'Степанович', 'country': 'Россия', 'city': 'Москва', 'street': 'Полярная улица', 'building': 'дом 14 корпус 1', 'flat': '28', 'code': '127221', 'tele': 'NULL', 'post': 'tzyewlsd@abn-mail.xyz', 'password': 'TheBestGuysEver1', 'card': 'NULL'}
{'name': 'Вячеслав', 'surname': 'Гусев', 'midname': 'Васильевич', 'country': 'Россия', 'city': 'Москва', 'street': 'улица Грекова', 'building': 'дом 5', 'flat': '42', 'code': '127224', 'tele': 'NULL', 'post': 'qyakox@abn-mail.xyz', 'password': 'TheBestGuysEver1', 'card': 'NULL'}
{'name': 'Альберт', 'surname': 'Пономарев', 'midname': 'Артемович', 'country': 'Россия', 'city': 'Москва', 'street': 'Студёный проезд', 'building': 'дом 26 корпус 2', 'flat': '26', 'code': '127224', 'tele': 'NULL', 'post': 'kjqvyzkzp@abn-mail.xyz', 'password': 'TheBestGuysEver1', 'card': 'NULL'}
{'name': 'Виталий', 'surname': 'Новиков', 'midname': 'Олегович', 'country': 'Россия', 'city': 'Москва', 'street': 'Полярная улица', 'building': 'дом 2', 'flat': '6', 'code': '127221', 'tele': 'NULL', 'post': 'hjgngr@abn-mail.xyz', 'password': 'TheBestGuysEver1', 'card': 'NULL'}
{'name': 'Семен', 'surname': 'Андреев', 'midname': 'Юрьевич', 'country': 'Россия', 'city': 'Москва', 'street': 'Студёный проезд', 'building': 'дом 18', 'flat': '19', 'code': '127224', 'tele': 'NULL', 'post': 'tqemrar@abn-mail.xyz', 'password': 'TheBestGuysEver1', 'card': 'NULL'}
{'name': 'Анатолий', 'surname': 'Колесников', 'midname': 'Борисович', 'country': 'Россия', 'city': 'Москва', 'street': 'Студёный проезд', 'building': 'дом 18', 'flat': '9', 'code': '127224', 'tele': 'NULL', 'post': 'tewwrt@abn-mail.xyz', 'password': 'TheBestGuysEver1', 'card': 'NULL'}
{'name': 'Данила', 'surname': 'Киселев', 'midname': 'Михайлович', 'country': 'Россия', 'city': 'Москва', 'street': 'проезд Дежнёва', 'building': 'дом 27 корпус 1', 'flat': '17', 'code': '127081', 'tele': 'NULL', 'post': 'mpafucl@abn-mail.xyz', 'password': 'TheBestGuysEver1', 'card': 'NULL'}
{'name': 'Александр', 'surname': 'Максимов', 'midname': 'Геннадиевич', 'country': 'Россия', 'city': 'Москва', 'street': 'проезд Дежнёва', 'building': 'дом 29 корпус 1', 'flat': '13', 'code': '127081', 'tele': 'NULL', 'post': 'kkpmtdk@abn-mail.xyz', 'password': 'TheBestGuysEver1', 'card': 'NULL'}
{'name': 'Евгений', 'surname': 'Филиппов', 'midname': 'Валерьевич', 'country': 'Россия', 'city': 'Москва', 'street': 'Студёный проезд', 'building': 'дом 26', 'flat': '16', 'code': '127224', 'tele': 'NULL', 'post': 'nnddxquin@abn-mail.xyz', 'password': 'TheBestGuysEver1', 'card': 'NULL'}
{'name': 'Петр', 'surname': 'Яковлев', 'midname': 'Иосифович', 'country': 'Россия', 'city': 'Москва', 'street': 'проезд Дежнёва', 'building': 'дом 29 корпус 1', 'flat': '22', 'code': '127081', 'tele': 'NULL', 'post': 'ehfedsgsj@abn-mail.xyz', 'password': 'TheBestGuysEver1', 'card': 'NULL'}
{'name': 'Федор', 'surname': 'Королев', 'midname': 'Романович', 'country': 'Россия', 'city': 'Москва', 'street': 'Полярная улица', 'building': 'дом 56 корпус 1', 'flat': '42', 'code': '127282', 'tele': 'NULL', 'post': 'szxcfsrz@abn-mail.xyz', 'password': 'TheBestGuysEver1', 'card': 'NULL'}
